1,xxxxxxxxx,xxxxxxxxx,1,xxxxxxxxx,18,game00001.log,
2,RandomPlayer,Human,0,RandomPlayer,11,game00002.log,
3,xxxxxxxxx,Human,GAMEOVER USER CANCEL UNDECIDED,NOBODY,3,game00003.log,USER CANCEL
4,RandomPlayer,Human,GAMEOVER USER CANCEL UNDECIDED,NOBODY,0,game00004.log,USER CANCEL
5,xxxxxxxxx,RandomPlayer,1,RandomPlayer,18,game00005.log,
6,Human,Human,0,Human,5,game00006.log,
7,260663521,RandomPlayer,1,RandomPlayer,18,game00007.log,
8,RandomPlayer,260663521,1,260663521,18,game00008.log,
9,260663521,RandomPlayer,1,RandomPlayer,16,game00009.log,
10,RandomPlayer,260663521,1,260663521,12,game00010.log,
11,260663521,RandomPlayer,1,RandomPlayer,12,game00011.log,
12,260663521,RandomPlayer,0,260663521,14,game00012.log,
13,RandomPlayer,260663521,1,260663521,13,game00013.log,
14,260663521,RandomPlayer,1,RandomPlayer,11,game00014.log,
15,RandomPlayer,RandomPlayer,1,RandomPlayer,18,game00015.log,
16,RandomPlayer,260663521,0,RandomPlayer,16,game00016.log,
17,260663521,RandomPlayer,0,260663521,13,game00017.log,
18,RandomPlayer,260663521,0,RandomPlayer,14,game00018.log,
19,260663521,RandomPlayer,1,RandomPlayer,18,game00019.log,
20,260663521,RandomPlayer,1,RandomPlayer,12,game00020.log,
21,260663521,RandomPlayer,1,RandomPlayer,1,game00021.log,TIMEOUT
22,260663521,RandomPlayer,1,RandomPlayer,1,game00022.log,TIMEOUT
23,RandomPlayer,RandomPlayer,1,RandomPlayer,18,game00023.log,
24,RandomPlayer,260663521,0,RandomPlayer,1,game00024.log,TIMEOUT
25,260663521,RandomPlayer,1,RandomPlayer,13,game00025.log,
26,260663521,260663521,1,260663521,6,game00026.log,
27,260663521,RandomPlayer,0,260663521,17,game00027.log,
28,260663521,RandomPlayer,1,RandomPlayer,14,game00028.log,
29,RandomPlayer,260663521,1,260663521,11,game00029.log,
30,260663521,RandomPlayer,0,260663521,5,game00030.log,
31,260663521,RandomPlayer,0,260663521,8,game00031.log,
32,260663521,RandomPlayer,0,260663521,9,game00032.log,
33,RandomPlayer,260663521,1,260663521,7,game00033.log,
34,RandomPlayer,260663521,1,260663521,13,game00034.log,
35,260663521,RandomPlayer,0,260663521,6,game00035.log,
36,RandomPlayer,260663521,1,260663521,12,game00036.log,
37,260663521,260663521,0,260663521,16,game00037.log,
38,260663521,RandomPlayer,0,260663521,4,game00038.log,
39,260663521,RandomPlayer,0,260663521,10,game00039.log,
40,RandomPlayer,260663521,1,260663521,12,game00040.log,
